Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera,Elymus canadensis
0.5362941176470589,1.6313529411764707,0.6235294117647059,0,0,2.4676470588235295,0,0,1.2970588235294118,0,3.930411764705882,0,10.691176470588236,3.2205882352941178,8.126470588235295,0.7166470588235294,0,0
0,0,0.1333529411764706,0,0,1.686294117647059,0,0,2.0048823529411766,0,2.8695882352941178,1.2627647058823528,4.395117647058823,4.836294117647059,3.111764705882353,0.301,0,0
0,0,0.4617647058823529,0,0,1.8725294117647058,0,0,6.091176470588235,0,3.585294117647059,0,4.7010000000000005,4.257823529411764,0.9637058823529411,0.3274705882352941,0,0
0,0,0.5219473684210526,0,0,0,0,0,0.9148947368421052,0,3.155263157894737,0,4.7877368421052635,4.628052631578948,1.2105263157894737,0.5745789473684211,0,0
0,3.060764705882353,0.101,0,0,0,0,0,1.249,0,2.974529411764706,0,12.380411764705883,0,0.7421764705882353,0.37058823529411766,0,0
0,0,1.2823888888888888,0,0,3.120388888888889,0,0,0,0,3.4898333333333333,0,3.557388888888889,7.912944444444444,2.929611111111111,0.5666666666666667,0.36016666666666663,0
0.6727272727272727,0.8303181818181818,0.29468181818181816,0,0,1.2446818181818182,0,0,0,0,1.8780454545454546,1.625,1.6386363636363634,5.057590909090909,1.4068181818181817,0.375,0,0
0.47,0,0.43333333333333335,0,0,0.4966666666666667,0,0,0,0,5.321133333333333,0,21.86113333333333,4.64,0,0,0,0
0,0,0.7009444444444445,0,0,2.4009444444444443,0,0,0,0,3.302777777777778,0,9.023166666666667,6.375,2.6435,0.9601666666666667,0,0
0,0,0.3845,0,0,0,0,0,0,0,3.954785714285714,0,20.839285714285715,0,0,1.8940714285714286,0,0
0,0,1.6871538461538462,0,0,0,0,0,0,0,0,0,0.6063846153846154,0,10.059,0,0,0
0,0,1.0053571428571428,0,0,3.2648928571428573,0.3011785714285714,0.0475,0,0,0,0,0,0,0,0.48274999999999996,0.9392857142857143,0
0,0,0.3088666666666667,0,0,10.383333333333333,1.2322,0.16886666666666666,0,0,0,0,0,3.9355333333333333,0,0,0.7611333333333333,0
0,0,0.23333333333333334,0,0,0,0.6648333333333334,0.18888888888888888,0,0,3.9064999999999994,0,0,2.2120555555555557,6.074055555555556,1.7065,0.5351666666666666,0
0,2.89740625,0.8546875,0.8484375,0,0,1.65415625,0.07759375,0,0,0,0,0,0,0,0,0.16509375,0
0,0,0.24,0,0,0,1.4133499999999999,1.1833500000000001,0,0,0,0,0,0,3.1550000000000002,0,0.72165,0
0,5.487695652173913,1.1195652173913044,0,0,1.5847826086956522,0.7594347826086956,0.09782608695652174,0,0,0,0,0,0,0,0.3847826086956522,0,0
1.5340416666666667,3.2492916666666667,0.29029166666666667,0,0,1.0979166666666667,0,0,0.9305416666666666,0,2.829166666666667,0,0,4.353458333333333,1.1236249999999999,0.8819583333333334,0,0
0,0,0.4018333333333333,0,0,2.4712777777777775,0,0,0.7565000000000001,0,0,0,0,7.655555555555556,0,0,0,0
0.6565,0,0.39444444444444443,0,0,0,0,0,8.737944444444445,0,4.1676111111111105,0,0,8.70738888888889,0,0,0,0
0,0,3.592611111111111,0,0,1.2305555555555554,2.0250000000000004,0,0,0,4.229611111111111,0,0,0,0,0.2,1.7101666666666668,0
7.208346153846154,0,1.3570384615384616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2173076923076923,0.4416538461538462
0.771,5.485185185185185,0.5962962962962963,0,0,0,0,0,0,0,2.394444444444445,0,0,0,0,1.3555555555555556,0.33581481481481484,0
0,0,0.1655,0,0,4.871428571428572,0,0,0,0,2.2155,3.4262142857142854,0,37.86907142857143,0,1.2678571428571428,0,0
0,0,1.1575,0,0,2.97415,0,0,0,0,7.33835,1.8083500000000001,0,7.394150000000001,11.880849999999999,0.23085,0,0
0,2.5740555555555553,0.23888888888888887,0,0,1.8916666666666666,0,0,0,0,6.194444444444445,1.7333333333333334,0,14.5685,5.280555555555555,0,0,0
0,0,0.2533333333333333,0,0,4.03,0,0,0,0,3.61,0,0,15.571133333333334,0,1.1611333333333334,0,0
0,0,0.42368421052631583,0,0,0.9640526315789474,0,0,0,0,1.4631578947368422,0,0,3.188578947368421,0,0,0,0
0,0,0.14654166666666665,0,0,0,0,0,0,0,3.1013750000000004,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16.620268394648832,0,0,0,0,0,0,0,0
0,0,0,0,0,1.3125,0,0,1.60165,1.16,0,1.7274999999999998,0.9116500000000001,4.28085,0,0,0.17415,0
0,0,0,0,0,0,0,0,0.6657222222222222,2.8009444444444447,0.9934999999999999,0,0.9129444444444444,5.7907222222222225,0,0,0.22405555555555556,0
0,0,0,0,0,2.538888888888889,0,0,0.4222222222222222,0.779611111111111,3.4694444444444446,0,6.865722222222222,5.151833333333333,1.804611111111111,0,0,0
0,0,0,0,0,0,0,0,0,2.7015,1.525,0,2.519681818181818,2.828772727272727,2.3181818181818183,0.47650000000000003,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6.804058333333333,0,0,0,0,0
0,0,0,0,0.0935,1.338888888888889,0,0,3.7277777777777774,0,0.9037222222222222,0,7.625,6.4185,0,0.7277777777777777,0,0
0,0,0,0,0,0.9098235294117647,1.526470588235294,0.5980588235294118,0.4980588235294118,0,3.664705882352941,0,5.604882352941177,0,6.536294117647059,0.6157058823529412,0,0
0,0,0,0,0,0,3.2979375,0.2489375,0,0,0,0,3.5541875,0,0,0,0,0
0,0,0,0,0,4.724384615384616,4.0602307692307695,0.8128461538461539,0,0,0,0,8.932076923076924,5.9166923076923075,0,0,0.4705384615384615,0
0,0,0,0,0,0,3.314076923076923,1.1551538461538462,0,0,0,0,5.9025384615384615,8.529461538461538,1.314076923076923,0,0.28592307692307695,0
0,0,0,0,0,0,7.035166666666666,0.14261111111111113,0,0,0,0,2.4722222222222223,4.5685,2.004611111111111,0,0,0
1.2357142857142858,0,0,0,0,0,0,0,0.4238095238095238,0,1.5841428571428573,2.053952380952381,2.1285714285714286,2.7682380952380954,2.584142857142857,0.15319047619047618,0,0.18728571428571428
0,0,0,0,0,3.704466666666667,0,0,1.2588666666666666,0,0,0,1.2622,6.295533333333334,0,0,1.1478,0
0,0,0,0,0,0.7588235294117647,0,0,0.749,0,2.876470588235294,0,3.8705882352941177,3.664705882352941,3.2911764705882356,1.5823529411764705,0,0
1.6824999999999999,0,0,0,0,0,0,0,1.1816499999999999,0,0,0,2.67915,0,0,0,0,0
0,0,0,0,0,0,0,0,3.1022000000000003,0,0,0,0.9078,6.510000000000001,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10.761159090909093,0,0,0,0.9458674242424242,0
0,0,0,0,0,1.5451176470588235,0,0,0,0,1.5147058823529411,1.3607647058823529,0.6784117647058823,5.235294117647059,3.1960588235294116,0,0.17941176470588235,0
0,0,0,0,0,0,0,0,0,0,0,0,0.6426875,0,7.6426875,0,0.20625,0
0,8.5948125,0,0,0,1.9145625,0,0,0,0,3.5125,0,21.025,0.9948125,2.11875,0.4958125,0,0
0,0,0,0,0,1.1657058823529411,0,0,0,0,3.1676470588235297,0,2.4705882352941178,2.589235294117647,3.7068823529411765,0.712764705882353,0,0
0,3.5548823529411764,0,0,0,2.6705882352941175,0,0,0,0,0,0,7.928411764705881,0,0.7568823529411766,0,0,0
2.216666666666667,0,0,0,0,0,0,0,0,0,0,0,9.46525,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2.9,10.11335,0.6233500000000001,0.95665,0,4.5,0,0
0,0,0,0,0,0,0,0,0,0,5.5743846153846155,0,23.339769230769228,0,0,1.4961538461538462,0,0
0,0,0,0,0,0,0,0,0,0,2.5186470588235292,0,7.581352941176471,1.7157058823529412,0,0.15394117647058825,0,0
0,0,0,0,0,0,0,0,0,0,4.840634502923977,0,2.5933508771929823,1.9399707602339182,13.190643274853802,3.664970760233918,0,0
0,0,0,0,0,0,0,0,0,0,0,1.159,8.415384615384616,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2.9833157894736844,0,2.2324736842105266,0,0,0
0,0,0,0,0.29955263157894735,0,0,0,0,0,0,0,0,0,0,0,0,0
1.8219473684210525,0,0,1.2903684210526316,0.2131578947368421,0,0.9403684210526316,0.3833157894736842,0,0,0,0,0,0,0,0,0.8394736842105263,0
0,0,0,0,0.10238095238095238,0.4523809523809524,0,0,0,0,2.029380952380952,0,0,1.130952380952381,0.7809523809523808,0.21904761904761902,0.3880952380952381,0
0,0,0,0,2.0603333333333333,0.37142857142857144,0,0,0,0,4.140476190476191,0,0,0,0,0,0,0
10.189666666666668,0,0,0,0.12776190476190474,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.19511764705882353,0,0,0,0,0,0,9.338235294117647,0,0,0,0,0,0
0,4.467409090909091,0,2.0749999999999997,0,0,2.752272727272727,0.1303181818181818,1.2553181818181818,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.72132,0.40332,0.47600000000000003,0,0,1.964,0,0,0,0,0,0
0,4.008333333333334,0,0,0,0,9.603722222222222,0.9981666666666666,0.7296111111111111,0,0,0,0,0,5.829611111111111,0.1453888888888889,0,0
0,0,0,0,0,1.6895833333333332,2.217375,0.18195833333333333,0,0,0,0,0,0,0,0,0,1.3569583333333333
0.4525,7.6125,0,3.13835,0,0.33335,2.47335,0.40499999999999997,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.9697272727272725,0,0.9606363636363636,0,0,0,0,0,8.68790909090909,0,0,0,0
0,0,0,0,0,0,0,0,6.865020833333333,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.0250000000000001,0,3.0484999999999998,0,0,0,0.8485,3.687863636363636,0.44850000000000007,0
0,1.5988666666666667,0,1.2011333333333334,0,0,0,0,4.945533333333334,0,0,3.8478,0,0,0,0.15,1.5444666666666669,0
0,0,0,0,0,4.260869565217392,0,0,0.9478260869565218,0,0,0,0,0,0,0,0,0
0,1.8480588235294118,0,0.9264705882352942,0,0.3342941176470588,0,0,0.7774705882352941,0,3.5695882352941175,0,0,14.169588235294118,3.1676470588235297,0.3931176470588235,0,0
0,0,0,0,0,3.2122,0,0,8.287799999999999,0,0,0,0,0,24.0822,0.24333333333333332,0,0
15.765625,0,0,0,0,0,0,0,2.196875,0,0,0,0,0,0,0.8604375,0,0
0,2.4104375,0,1.0291875,0,0,0,0,6.053125,0,3.0645625,2.4270625,0,17.371875,0,0.296875,0,0
0,0,0,0,0,0,0,0,9.760458951866847,0,0,0,0,9.478916441745389,0,0,0,0
0,0,0,0,0,0,0,0,6.85665,0,0,0,0,0,5.77915,0,0,0
0,0,0,0,0,0,1.3818181818181818,0,0,0,0,0,0,0,0,0,1.8257272727272726,0
0,8.903571428571428,0,0,0,0,1.8904999999999998,0,0,0,4.697642857142857,2.8892857142857147,0,11.651214285714286,6.5952142857142855,0.43692857142857144,0,0
0,0,0,0,0,6.133346153846154,0,0,0,0,0,0,0,0,0,0.2846153846153846,1.1923076923076923,1.122423076923077
0,0,0,0,0,4.8824736842105265,0,0,0,0,1.5666842105263157,5.1701578947368425,0,0,0,1.3842105263157896,0,0.18857894736842107
0,0,0,0,0,0,0,0,0,0,4.739833333333333,0,0,1.1092777777777778,4.884277777777778,3.4583333333333335,0,3.5231666666666666
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29446666666666665,0,0.6788666666666666
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.279604166666667,0
0,0,0,0,0,9.069315789473684,0,0,0,0,0,0,0,0,0,0.1763157894736842,2.4842105263157896,0
4.314285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2345,0
0,0,0,0,0,0,0,0,0,0,2.3555714285714284,0,0,0,0,2.9515714285714285,0.6103333333333334,0
0,0,0,0,0,0,0,0,0,0,0,28.516666666666666,0,0,0,0,4.829166666666667,0
0,0,0,0,0,5.822712197159566,0,0,0,0,0,0,0,0,0,0,0,0
8.6198125,0,0,0,0,6.1614375,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7.425,0,0,0,0,0,8.2791875,0,0,0,0.246875,0,0
0,0,0,0,0,5.863916666666667,0,0,0,0,0,0,0,9.950000000000001,2.293083333333333,0.18191666666666664,0,0
0,0,0,0,0,5.9288181818181815,0,0,0,0,0,0,0,13.422727272727274,0,0,0,0
0,0,0,0,0,1.7231666666666667,0,0,0,0,0,0,0,0,4.8065,0,0,0
7.256170834325633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2755333333333336,0,0,0,0,0,0,0,0,0,0,8.338866666666666,0,0,1.5278,0.6244666666666667,0,0
2.940722222222222,2.7712777777777777,0,0,0,0,0,0,0,0,0,4.974055555555555,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.5778,0,0,0,0,0,0,0
0,0,0,2.281578947368421,0,0,0,0,0,0,3.263157894736842,0,0,0,10.862263157894738,1.1272105263157897,0,0
0,9.7767,0,32.3767,0,0,0,0,0,0,1.7433,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.405858974358974,0,0,24.770803418803418,0,2.510042735042735,0,0
0,7.558919225146199,0,1.5766812865497075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,16.37775,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.769,0,4.452428571428571,0,0,0,0
0,0.7025384615384614,0,0,0,0,0,0,0,0,0,3.3025384615384614,0,23.337153846153846,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.1233,0,8.1967,0.6183,0,0,0
0,0,0,0,0,0,0,0,0,0,0,16.293333333333333,0,0,1.0355333333333332,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,11.703956022408963,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.031294672919673,0,0,0
